parameter_set,price_floor_fp,entry_safety_margin,result_count,mean_quote_divergence,max_quote_divergence,mean_nav_per_deposit_divergence,max_nav_per_deposit_divergence,slippage_failures,solvency_failures
floor_1_margin_1,1,1,53,0.0003455343891743330200353056583,0.0007833951088384745161811927200,0.001043421199456966223618892351,0.0070889888739605357983655066,0,0
floor_1_margin_100000,1,100000,53,0.0003455343891743330200353056583,0.0007833951088384745161811927200,0.001043421199456966223618892351,0.0070889888739605357983655066,0,0
floor_1_margin_1000000,1,1000000,53,0.0003455343891743330200353056583,0.0007833951088384745161811927200,0.001043421199456966223618892351,0.0070889888739605357983655066,0,0
floor_1000_margin_1,1000,1,53,0.0003455343891743330200353056583,0.0007833951088384745161811927200,0.001043421199456966223618892351,0.0070889888739605357983655066,0,0
floor_1000_margin_100000,1000,100000,53,0.0003455343891743330200353056583,0.0007833951088384745161811927200,0.001043421199456966223618892351,0.0070889888739605357983655066,0,0
floor_1000_margin_1000000,1000,1000000,53,0.0003455343891743330200353056583,0.0007833951088384745161811927200,0.001043421199456966223618892351,0.0070889888739605357983655066,0,0
floor_10000_margin_1,10000,1,53,0.0003455343891743330200353056583,0.0007833951088384745161811927200,0.001043421199456966223618892351,0.0070889888739605357983655066,0,0
floor_10000_margin_100000,10000,100000,53,0.0003455343891743330200353056583,0.0007833951088384745161811927200,0.001043421199456966223618892351,0.0070889888739605357983655066,0,0
floor_10000_margin_1000000,10000,1000000,53,0.0003455343891743330200353056583,0.0007833951088384745161811927200,0.001043421199456966223618892351,0.0070889888739605357983655066,0,0
